surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber,org_tsn
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,0,blue_green_sphere,cell_b,ph103,count,619985,l,03,1389,20131015cb6.4,0
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,0,micro-phytoflagellates,<10_microns,ph103,count,108211,l,phytoflag,804,20131015cb6.4,0
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,747,microcystis,not_applicable,ph103,count,1808290,l,03020113,828,20131015cb6.4,747
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2288,centrales,<10_microns,ph103,count,1947801,l,0702,1360,20131015cb6.4,2288
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2288,centrales,>60_microns,ph103,count,512,l,0702,1369,20131015cb6.4,2288
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2288,centrales,10-30_microns,ph103,count,1136640,l,0702,1367,20131015cb6.4,2288
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2294,melosira_nummuloides,not_applicable,ph103,count,2048,l,0702010104,195,20131015cb6.4,2294
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2395,leptocylindrus_danicus,not_applicable,ph103,count,2048,l,0702011201,88,20131015cb6.4,2395
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2402,skeletonema_costatum,not_applicable,ph103,count,3616581,l,0702020101,136,20131015cb6.4,2402
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2439,cyclotella,>30_microns,ph103,count,154996,l,07020203,955,20131015cb6.4,2439
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2484,thalassiosira,not_applicable,ph103,count,154996,l,07020205,156,20131015cb6.4,2484
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2546,coscinodiscus,not_applicable,ph103,count,6656,l,07020301,58,20131015cb6.4,2546
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2758,chaetoceros,not_applicable,ph103,count,774981,l,07020901,20,20131015cb6.4,2758
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2791,chaetoceros_decipiens,not_applicable,ph103,count,4096,l,0702090120,36,20131015cb6.4,2791
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2819,chaetoceros_pendulus,not_applicable,ph103,count,1536,l,0702090142,44,20131015cb6.4,2819
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2897,rhizosolenia_imbricata,not_applicable,ph103,count,1024,l,0702100110,129,20131015cb6.4,2897
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2902,rhizosolenia_setigera,not_applicable,ph103,count,1024,l,0702100113,132,20131015cb6.4,2902
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2930,pennales,<10_microns,ph103,count,1190323,l,0703,1362,20131015cb6.4,2930
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2930,pennales,>60_microns,ph103,count,17408,l,0703,1372,20131015cb6.4,2930
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2930,pennales,10-30_microns,ph103,count,464989,l,0703,1370,20131015cb6.4,2930
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2930,pennales,31-60_microns,ph103,count,1024,l,0703,1371,20131015cb6.4,2930
433320,433320,odu/pel,c,cb6.4,2013-01-16,ap,fs1,7,2932,fragilaria,not_applicable,ph103,count,1536,l,07030101,77,20131015cb6.4,2932
