unique_id,station,date,season_sal,ibi_score,metric_count,present_count,na_count,rating,agency,source,latitude,longitude
we4.2_ap_fs1_2013-03-20_spring_m,we4.2,2013-03-20,spring_m,2.33,8,6,2,fair_poor,vadeq,odu,37.2496523710917,-76.3818056447144
cb6.4_ap_fs1_2013-03-20_spring_m,cb6.4,2013-03-20,spring_m,2,8,6,2,fair_poor,vadeq,odu,37.230882881592,-76.216255465931
le5.5-w_ap_fs1_2013-03-20_spring_m,le5.5-w,2013-03-20,spring_m,2,8,6,2,fair_poor,vadeq,odu,37.0038124110249,-76.3163820846875
cb6.1_ap_fs1_2013-04-16_spring_m,cb6.1,2013-04-16,spring_m,3,8,6,2,fair,vadeq,odu,37.5824963766612,-76.1573658903899
le3.6_ap_fs1_2013-04-16_spring_m,le3.6,2013-04-16,spring_m,3.67,8,6,2,fair_good,vadeq,odu,37.590251251691,-76.291738632348
le5.5-w_ap_fs1_2013-04-17_spring_m,le5.5-w,2013-04-17,spring_m,3.29,8,7,1,fair,vadeq,odu,36.9975683897154,-76.30679818407
cb6.4_ap_fs1_2013-05-14_spring_m,cb6.4,2013-05-14,spring_m,2.67,8,6,2,fair,vadeq,odu,37.2335609449269,-76.2056469170179
we4.2_ap_fs1_2013-05-14_spring_m,we4.2,2013-05-14,spring_m,1.67,8,6,2,poor,vadeq,odu,37.2475803318638,-76.3778228681899
le5.5-w_ap_fs1_2013-05-14_spring_m,le5.5-w,2013-05-14,spring_m,2.33,8,6,2,fair_poor,vadeq,odu,37.0079485495134,-76.3180237903662
cb6.1_ap_fs1_2013-05-16_spring_m,cb6.1,2013-05-16,spring_m,3.57,8,7,1,fair_good,vadeq,odu,37.5920597832227,-76.1598280979484
le3.6_ap_fs1_2013-05-17_spring_m,le3.6,2013-05-17,spring_m,3.67,8,6,2,fair_good,vadeq,odu,37.6060747329183,-76.2857013789412
cb6.1_ap_fs1_2014-03-20_spring_m,cb6.1,2014-03-20,spring_m,2.33,8,6,2,fair_poor,vadeq,odu,37.5913623532555,-76.1718131273637
le3.6_ap_fs1_2014-03-20_spring_m,le3.6,2014-03-20,spring_m,2.43,8,7,1,fair_poor,vadeq,odu,37.599880048953,-76.2935640088269
cb6.4_ap_fs1_2014-04-14_spring_m,cb6.4,2014-04-14,spring_m,2.67,8,6,2,fair,vadeq,odu,37.2331581851709,-76.209014715947
we4.2_ap_fs1_2014-04-14_spring_m,we4.2,2014-04-14,spring_m,3.33,8,6,2,fair_good,vadeq,odu,37.2495019016386,-76.3802995719334
le5.5-w_ap_fs1_2014-04-14_spring_m,le5.5-w,2014-04-14,spring_m,2.33,8,6,2,fair_poor,vadeq,odu,36.9958717815929,-76.3057319677791
cb6.1_ap_fs1_2014-04-22_spring_m,cb6.1,2014-04-22,spring_m,3,8,6,2,fair,vadeq,odu,37.5949708872005,-76.1675226893067
le3.6_ap_fs1_2014-04-22_spring_m,le3.6,2014-04-22,spring_m,2,8,6,2,fair_poor,vadeq,odu,37.6030755367679,-76.2915478319894
